Date,Price,Open,High,Low,Vol.,Change %
"Dec 17, 2020",2770.43,2769.89,2772.71,2742.25,1.02B,-0.05%
"Dec 16, 2020",2771.79,2763.64,2781.08,2761.5,1.17B,0.54%
"Dec 15, 2020",2756.82,2763.65,2769.37,2735.08,1.09B,-0.19%
"Dec 14, 2020",2762.2,2769.43,2782.79,2755.29,1.11B,-0.28%
"Dec 11, 2020",2770.06,2754.16,2781.04,2754.16,1.22B,0.86%
"Dec 10, 2020",2746.46,2750.34,2765.46,2718.7,1.23B,-0.33%
"Dec 09, 2020",2755.47,2703.3,2755.47,2703.3,1.25B,2.02%
"Dec 08, 2020",2700.93,2745.13,2747.45,2700.92,1.42B,-1.62%
"Dec 07, 2020",2745.44,2738.11,2754.01,2711.42,1.50B,0.51%
"Dec 04, 2020",2731.45,2705.34,2742.77,2705.34,1.78B,1.31%
"Dec 03, 2020",2696.22,2686.38,2696.22,2672.85,817.07M,0.76%
"Dec 02, 2020",2675.9,2645.88,2677.26,2644.53,1.08B,1.58%
"Dec 01, 2020",2634.25,2613.42,2638.87,2611.67,1.15B,1.66%
"Nov 30, 2020",2591.34,2648.05,2648.66,2591.34,1.31B,-1.60%
"Nov 27, 2020",2633.45,2624.8,2635,2618.47,1.20B,0.29%
"Nov 26, 2020",2625.91,2605.73,2625.97,2592.43,1.39B,0.94%
"Nov 25, 2020",2601.54,2637.34,2642.26,2583.41,1.41B,-0.62%
"Nov 24, 2020",2617.76,2616.28,2628.52,2605.03,1.36B,0.58%
"Nov 23, 2020",2602.59,2560.04,2605.58,2553.7,1.65B,1.92%
"Nov 20, 2020",2553.5,2544.06,2558.21,2539.79,1.13B,0.24%
"Nov 19, 2020",2547.42,2536.89,2548.95,2529.53,976.48M,0.07%
"Nov 18, 2020",2545.64,2548.85,2553.95,2536.78,923.50M,0.26%
"Nov 17, 2020",2539.15,2544.12,2556.09,2533.34,1.27B,-0.15%
"Nov 16, 2020",2543.03,2507.46,2546.37,2507.46,1.24B,1.97%
"Nov 13, 2020",2493.87,2470.12,2495.77,2460.96,1.07B,0.74%
"Nov 12, 2020",2475.62,2482.68,2488.79,2467.04,1.28B,-0.41%
"Nov 11, 2020",2485.87,2459.5,2488.04,2459.5,1.27B,1.35%
"Nov 10, 2020",2452.83,2453.95,2457.94,2435.59,1.46B,0.23%
"Nov 09, 2020",2447.2,2438.63,2459.15,2434.52,1.35B,1.27%
"Nov 06, 2020",2416.5,2421.79,2431.11,2404.97,825.57M,0.11%
"Nov 05, 2020",2413.79,2373.41,2413.79,2370.85,702.04M,2.40%
"Nov 04, 2020",2357.32,2361.32,2371.14,2339.95,986.79M,0.60%
"Nov 03, 2020",2343.31,2315.81,2344.77,2315.3,887.44M,1.88%
"Nov 02, 2020",2300.16,2276.61,2302.64,2267.95,678.50M,1.46%
"Oct 30, 2020",2267.15,2319.56,2320.2,2266.93,795.59M,-2.56%
"Oct 29, 2020",2326.67,2312.34,2330.17,2299.91,509.77M,-0.79%
"Oct 28, 2020",2345.26,2324.18,2345.46,2316.47,705.77M,0.62%
"Oct 27, 2020",2330.84,2328.66,2349.33,2321.23,666.94M,-0.56%
"Oct 26, 2020",2343.91,2366.5,2374.5,2342.58,822.27M,-0.72%
"Oct 23, 2020",2360.81,2364.84,2368.57,2344.49,890.38M,0.24%
"Oct 22, 2020",2355.05,2355.61,2360.22,2339.73,815.61M,-0.67%
"Oct 21, 2020",2370.86,2363.03,2371.74,2356.32,812.84M,0.53%
"Oct 20, 2020",2358.41,2333.56,2358.41,2322.06,874.29M,0.50%
"Oct 19, 2020",2346.74,2352.92,2364.25,2344.77,931.64M,0.22%
"Oct 16, 2020",2341.53,2363.88,2370.73,2325.03,920.20M,-0.83%
"Oct 15, 2020",2361.21,2375.91,2376.73,2348.74,1.17B,-0.81%
"Oct 14, 2020",2380.48,2403.74,2405.56,2375.54,901.18M,-0.94%
"Oct 13, 2020",2403.15,2416.85,2418.89,2385.87,724.92M,-0.02%
"Oct 12, 2020",2403.73,2404.18,2409.42,2393.74,843.57M,0.49%
"Oct 08, 2020",2391.96,2408.49,2409.01,2383.82,961.73M,0.21%
"Oct 07, 2020",2386.94,2350.82,2387.45,2347.82,737.99M,0.89%
"Oct 06, 2020",2365.9,2369.17,2378.28,2355.39,861.75M,0.34%
